31_1	What is throat cancer ? throat cancer
31_2	Is  throat cancer treatable ? throat cancer
31_3	Tell me about lung cancer . throat cancer lung cancer
31_4	What are  lung cancer symptoms ? throat cancer lung cancer its symptoms
31_5	Can  lung cancer spread to the throat ? throat cancer lung cancer its symptoms the throat
31_6	What causes throat cancer ? throat cancer lung cancer its symptoms the throat throat cancer
31_7	What is the first sign of  lung cancer ? throat cancer lung cancer its symptoms the throat throat cancer the first sign
31_8	Is  lung cancer the same as esophageal cancer ? throat cancer lung cancer its symptoms the throat throat cancer the first sign esophageal cancer
31_9	What 's the difference in  lung cancer symptoms ? throat cancer lung cancer its symptoms the throat throat cancer the first sign esophageal cancer the difference their symptoms
32_1	What are the different types of sharks ? the different types sharks
32_2	Are sharks endangered ?   If so , which species ? the different types sharks sharks
32_3	Tell me more about tiger sharks . the different types sharks sharks tiger sharks
32_4	What is the largest ever to have lived on Earth ? the different types sharks sharks tiger sharks Earth
32_5	What 's the biggest ever caught ? the different types sharks sharks tiger sharks Earth
32_6	What about for great whites ? the different types sharks sharks tiger sharks Earth great whites
32_7	Tell me about makos . the different types sharks sharks tiger sharks Earth great whites makos
32_8	What are  makos adaptations ? the different types sharks sharks tiger sharks Earth great whites makos their adaptations
32_9	Where do  makos live ? the different types sharks sharks tiger sharks Earth great whites makos their adaptations
32_10	What do  makos eat ? the different types sharks sharks tiger sharks Earth great whites makos their adaptations
32_11	How do  makos compare with tigers for being dangerous ? the different types sharks sharks tiger sharks Earth great whites makos their adaptations tigers
33_1	Tell me about the Neverending Story film . the Neverending Story film
33_2	What is  the Neverending Story film about ? the Neverending Story film
33_3	How was  the Neverending Story film received ? the Neverending Story film
33_4	Did  the Neverending Story film win any awards ? the Neverending Story film any awards
33_5	Was  the Neverending Story film a book first ? the Neverending Story film any awards
33_6	Who was the author and when what  the Neverending Story film published ? the Neverending Story film any awards
33_7	What are the main themes ? the Neverending Story film any awards the main themes
33_8	Who are the main characters ? the Neverending Story film any awards the main themes
33_9	What are the differences between the book and movies ? the Neverending Story film any awards the main themes the differences the book
33_10	Did the horse Artax really die ? the Neverending Story film any awards the main themes the differences the book the horse Artax
34_1	Tell me about the Bronze Age collapse . the Bronze Age collapse
34_2	What is the evidence for  the Bronze Age collapse ? the Bronze Age collapse the evidence
34_3	What are some of the possible causes ? the Bronze Age collapse the evidence the possible causes
34_4	Who were the Sea Peoples ? the Bronze Age collapse the evidence the possible causes
34_5	What was  the Bronze Age collapse role in  the Bronze Age collapse ? the Bronze Age collapse the evidence the possible causes their role
34_6	What other factors led to a breakdown of trade ? the Bronze Age collapse the evidence the possible causes their role What other factors a breakdown trade
34_7	What about environmental factors ? the Bronze Age collapse the evidence the possible causes their role What other factors a breakdown trade environmental factors
34_8	What empires survived ? the Bronze Age collapse the evidence the possible causes their role What other factors a breakdown trade environmental factors
34_9	What came after  the Bronze Age collapse ? the Bronze Age collapse the evidence the possible causes their role What other factors a breakdown trade environmental factors
37_1	What was the Stanford Experiment ? the Stanford Experiment
37_2	What did  the Stanford Experiment show ? the Stanford Experiment
37_3	Tell me about the author of the experiment . the Stanford Experiment the author the experiment
37_4	Was  the author of the experiment ethical ? the Stanford Experiment the author the experiment
37_5	What are other similar experiments ? the Stanford Experiment the author the experiment
37_6	What happened in the Milgram experiment ? the Stanford Experiment the author the experiment the Milgram experiment
37_7	Why was  the author of the experiment important ? the Stanford Experiment the author the experiment the Milgram experiment
37_8	What were the similarities and differences between the studies ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies
37_9	What about the BBC experiment ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies the BBC experiment
37_10	What are the key findings ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies the BBC experiment the key findings
37_11	How did the results differ ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies the BBC experiment the key findings the results
37_12	Why was  the author of the experiment ended ? the Stanford Experiment the author the experiment the Milgram experiment the similarities the studies the BBC experiment the key findings the results
40_1	What are the origins of popular music ? the origins popular music
40_2	What are  the origins popular music characteristics ? the origins popular music its characteristics
40_3	What technological developments enabled  the origins popular music ? the origins popular music its characteristics What technological developments
40_4	When and why did people start taking pop seriously ? the origins popular music its characteristics What technological developments people pop
40_5	How has  the origins popular music been integrated into music education ? the origins popular music its characteristics What technological developments people pop music education
40_6	Describe some of the influential pop bands . the origins popular music its characteristics What technological developments people pop music education the influential pop bands
40_7	What makes a song pop punk ? the origins popular music its characteristics What technological developments people pop music education the influential pop bands a song pop punk
40_8	What is the difference between  the origins popular music and emo ? the origins popular music its characteristics What technological developments people pop music education the influential pop bands a song pop punk the difference
40_9	How did Britpop change music ? the origins popular music its characteristics What technological developments people pop music education the influential pop bands a song pop punk the difference
40_10	What are  the origins popular music roots and what influenced  the origins popular music ? the origins popular music its characteristics What technological developments people pop music education the influential pop bands a song pop punk the difference its roots
49_1	How was Netflix started ? Netflix
49_2	How did  Netflix originally work ? Netflix
49_3	What is  Netflix relationship with Blockbuster ? Netflix its relationship Blockbuster
49_4	When did Netflix shift from DVDs to a streaming service ? Netflix its relationship Blockbuster Netflix DVDs a streaming service
49_5	What are  Netflix other competitors ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors
49_6	How does  Netflix compare to Amazon Prime Video ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video
49_7	Describe  Netflix ’s subscriber growth over time . Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video ’s subscriber growth time
49_8	How has  Netflix changed the way TV is watched ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video ’s subscriber growth time TV
49_9	How has  Netflix impacted society ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video ’s subscriber growth time TV society
49_10	How about dating and relationships ? Netflix its relationship Blockbuster Netflix DVDs a streaming service its other competitors Amazon Prime Video ’s subscriber growth time TV society
50_1	What was the first artificial satellite ? 
50_2	What are the types of orbits ? the types orbits
50_3	What are the important classes of satellite ? the types orbits the important classes satellite
50_4	How do navigation systems work ? the types orbits the important classes satellite navigation systems
50_5	What is the Galileo system and why is What the first artificial satellite  important ? the types orbits the important classes satellite navigation systems the Galileo system
50_6	Why did What the first artificial satellite  create tension with the US ? the types orbits the important classes satellite navigation systems the Galileo system tension the US
50_7	What are Cubesats ? the types orbits the important classes satellite navigation systems the Galileo system tension the US Cubesats
50_8	What are What the first artificial satellite  advantages ? the types orbits the important classes satellite navigation systems the Galileo system tension the US Cubesats their advantages
50_9	What are What the first artificial satellite  used for ? the types orbits the important classes satellite navigation systems the Galileo system tension the US Cubesats their advantages
50_10	What is What the first artificial satellite  future ? the types orbits the important classes satellite navigation systems the Galileo system tension the US Cubesats their advantages their future
54_1	What is worth seeing in Washington D.C. ? Washington D.C.
54_2	Which Smithsonian museums are the most popular ? Washington D.C. Which Smithsonian museums
