31_1	what is throat cancer?
31_2	is it treatable?
31_3	tell me about lung cancer.
31_4	what are its symptoms? 
31_5	can it spread to the throat?
31_6	what causes throat cancer?
31_7	what is the first sign of it?
31_8	is it the same as esophageal cancer?
31_9	what's the difference in their symptoms?
32_1	what are the different types of sharks?
32_2	are sharks endangered?  if so, which species?
32_3	tell me more about tiger sharks.
32_4	what is the largest ever to have lived on earth?
32_5	what's the biggest ever caught?
32_6	what about for great whites?
32_7	tell me about makos.
32_8	what are their adaptations?
32_9	where do they live?
32_10	what do they eat?
32_11	how do they compare with tigers for being dangerous?
33_1	tell me about the neverending story film.
33_2	what is it about?
33_3	how was it received?
33_4	did it win any awards?
33_5	was it a book first?
33_6	who was the author and when what it published?
33_7	what are the main themes?
33_8	who are the main characters?
33_9	what are the differences between the book and movies?
33_10	did the horse artax really die?
34_1	tell me about the bronze age collapse.
34_2	what is the evidence for it?
34_3	what are some of the possible causes?
34_4	who were the sea peoples?
34_5	what was their role in it?
34_6	what other factors led to a breakdown of trade?
34_7	what about environmental factors?
34_8	what empires survived?
34_9	what came after it?
35_1	tell me about the history of toilets.
35_2	where does the term come from?
35_3	where and when was the first invented?
35_4	why do the brits call it a loo?
35_5	what came before them?
35_6	when did indoor versions become common?
35_7	how many types are there?
35_8	why are they so important for society?
35_9	what is their role in film?
36_1	what is the us electoral college?
36_2	how does it work?
36_3	tell me about its creation.
36_4	why was the system chosen?
36_5	how has it changed over time?
36_6	what if the electors don't vote for the pledged candidate?
36_7	how has this changed election outcomes?
36_8	who are the hamilton electors and what were they trying to do?
36_9	how would the college be abolished?
36_10	how does the national popular vote interstate compact work?
36_11	is it legal?
37_1	what was the stanford experiment?
37_2	what did it show?
37_3	tell me about the author of the experiment.
37_4	was it ethical?
37_5	what are other similar experiments?
37_6	what happened in the milgram experiment?
37_7	why was it important?
37_8	what were the similarities and differences between the studies?
37_9	what about the bbc experiment?
37_10	what are the key findings?
37_11	how did the results differ?
37_12	why was it ended?
38_1	what is lyme disease?
38_2	how do you get lyme disease?
38_3	how does it make you feel?
38_4	what happens if it goes untreated?
38_5	can it kill you?
38_6	how reliable is the test?
38_7	can it be cured?
38_8	what is chronic lyme?
39_1	what does it mean to be a vegan?
39_2	what is the environmental argument for it?
39_3	do you need milk for strong bones?
39_4	what are other good sources of calcium?
39_5	if you don't eat any meat, at all, is it bad for you?
39_6	what are good sources of vitamin b12?
39_7	does it help you lose weight?
39_8	what about its health effects versus being vegetarian?
39_9	how does the environmental impact compare between them?
40_1	what are the origins of popular music? 
40_2	what are its characteristics?
40_3	what technological developments enabled it?
40_4	when and why did people start taking pop seriously? 
40_5	how has it been integrated into music education? 
40_6	describe some of the influential pop bands. 
40_7	what makes a song pop punk?
40_8	what is the difference between it and emo?
40_9	how did britpop change music?
40_10	what are its roots and what influenced it?
41_1	why is the drinking age in the us 21 and not 18?
41_2	what were the pros and cons?
41_3	tell me about the negative health effects of drinking.
41_4	how does binge drinking affect development?
41_5	can it damage mental health?
41_6	what are the short and long-term effects of usage on brain chemicals?
41_7	are alcoholics generally depressed?
41_8	what are the effects on vitamins and minerals?
41_9	are there any benefits?
42_1	what is chattanooga famous for?
42_2	what is there to do in downtown chattanooga?
42_3	are there tourism activities related to trucks or trains?
42_4	are there any related to bessie smith?
42_5	can i visit some nearby distilleries?
42_6	what is rock city, and why is it famous?
42_7	are special events held there?
42_8	what kind of food is chattanooga known for?
43_1	what are some interesting things around ann arbor?
43_2	tell me about when the city was founded. 
43_3	how does it relate to the establishment of the university? 
43_4	does the museum of art have any special collections?
43_5	what is the south pond nature area?
43_6	are there any film festivals?
43_7	how about for jazz?
43_8	what are popular bars or clubs where i can listen to it?
44_1	what causes acidic reflux in the morning?
44_2	does it have long term side effects?
44_3	what is the best otc for it?
44_4	what are the side effects of long term ppi use?
44_5	tell me about natural treatments.
44_6	what foods cause it?
44_7	what ones reduce it? 
44_8	how does exercise affect it?
45_1	what dog breed is the best for playing?
45_2	what kind should i get if i’m allergic?
45_3	how about big and active dogs?
45_4	do big dogs live longer than small dogs?
45_5	will i need to put a lot of time into training?
45_6	tell me about some breeds that are independent and can be left home all day.
45_7	how much does a irish wolfhound weigh?
45_8	how much do they cost?
46_1	why is learning a second language difficult?
46_2	at what age is it harder and why?
46_3	if i already know english, which language would be the easiest to learn?
46_4	how can i begin learning norwegian?
46_5	is it easier to learn than spanish?
46_6	what other languages are closest to it?
46_7	describe some of its similarities with danish.
46_8	how did all these languages evolve?
46_9	how is it related to old norse?
46_10	are there advantages of knowing multiple languages?
47_1	why is boise called the city of trees?
47_2	how did it get its name?
47_3	what is there to do in the summer?
47_4	what are popular hiking trails? 
47_5	tell me about the oregon trail reserve.
47_6	tell me about the history of the boise greenbelt.
47_7	what is the controversy around it?
48_1	what is the main function of a virtual machine?
48_2	what are its advantages?
48_3	describe some of its disadvantages.
48_4	how do they work?
48_5	what are the main types of vms?
48_6	what is their role in cloud computing?
48_7	how is a container different?
48_8	what is the advantage of docker?
48_9	how is it related kurbenetes?
49_1	how was netflix started? 
49_2	how did it originally work?
49_3	what is its relationship with blockbuster?
49_4	when did netflix shift from dvds to a streaming service?
49_5	what are its other competitors? 
49_6	how does it compare to amazon prime video?
49_7	describe it’s subscriber growth over time.
49_8	how has it changed the way tv is watched?
49_9	how has it impacted society?
49_10	how about dating and relationships? 
50_1	what was the first artificial satellite?
50_2	what are the types of orbits?
50_3	what are the important classes of satellite?
50_4	how do navigation systems work?
50_5	what is the galileo system and why is it important?
50_6	why did it create tension with the us?
50_7	what are cubesats?
50_8	what are their advantages? 
50_9	what are they used for?
50_10	what is their future?
51_1	how do i save for a child’s college education in the us?
51_2	what is a 529 plan?
51_3	how does it work?
51_4	what are the main advantages?
51_5	what about disadvantages?
51_6	how long have they been around?
51_7	what are the types of plans?
51_8	what can the funds be used for?
51_9	what happens if it’s not used?
51_10	how does a esa compare?
52_1	describe the afra tanker scale.
52_2	why was it developed?
52_3	what are supertankers?
52_4	describe their invention.
52_5	what are the important factors led to their development?
52_6	what was the role of the six-day war?
52_7	how many barrels can a vlcc ship carry?
