31_1	What is throat cancer?
31_2	Is  throat cancer treatable ? 
31_3	Tell me about lung cancer.
31_4	What are  lung cancer symptoms ? 
31_5	Can  throat cancer spread to the throat ? 
31_6	What causes throat cancer?
31_7	What is the first sign of  throat cancer ? 
31_8	Is  throat cancer the same as esophageal cancer ? 
31_9	What 's the difference in  esophageal cancer symptoms ? 
32_1	What are the different types of sharks?
32_2	Are sharks endangered ?   If so , which species ?  the different types sharks
32_3	Tell me more about tiger sharks.
32_4	What is the largest ever to have lived on Earth ?  the different types sharks
32_5	What 's the biggest ever caught ?  the different types sharks
32_6	What about for great whites ?  the different types sharks
32_7	Tell me about makos.
32_8	What are  makos adaptations ? 
32_9	Where do  their adaptations live ? 
32_10	What do Where do they  eat ? 
32_11	How do What do they  compare with tigers for being dangerous ? 
33_1	Tell me about the Neverending Story film.
33_2	What is  the neverending story film about ? 
33_3	How was  the neverending story film received ? 
33_4	Did  the neverending story film win any awards ? 
33_5	Was  the neverending story film a book first ? 
33_6	Who was the author and when what  the neverending story film published ? 
33_7	What are the main themes ?  the neverending story film
33_8	Who are the main characters ?  the neverending story film
33_9	What are the differences between the book and movies ?  the neverending story film
33_10	Did the horse Artax really die?
34_1	Tell me about the Bronze Age collapse.
34_2	What is the evidence for  the bronze age collapse ? 
34_3	What are some of the possible causes ?  the bronze age collapse
34_4	Who were the Sea Peoples?
34_5	What was  the bronze age collapse role in  the bronze age collapse ? 
34_6	What other factors led to a breakdown of trade ?  the bronze age collapse
34_7	What about environmental factors ?  the bronze age collapse
34_8	What empires survived ?  the bronze age collapse
34_9	What came after  the bronze age collapse ? 
37_1	What was the Stanford Experiment?
37_2	What did  the Stanford Experiment show ? 
37_3	Tell me about the author of the experiment .  the Stanford Experiment
37_4	Was  the Stanford Experiment ethical ? 
37_5	What are other similar experiments ?  the Stanford Experiment
37_6	What happened in the Milgram experiment?
37_7	Why was  the Milgram experiment important ? 
37_8	What were the similarities and differences between the studies ?  the Stanford Experiment
37_9	What about the BBC experiment ?  the Stanford Experiment
37_10	What are the key findings ?  the BBC experiment 
37_11	How did the results differ ?  the key findings 
37_12	Why was  the results ended ? 
40_1	What are the origins of popular music?
40_2	What are  the origins popular music characteristics ? 
40_3	What technological developments enabled  the origins popular music ? 
40_4	When and why did people start taking pop seriously?
40_5	How has  the origins popular music been integrated into music education ? 
40_6	Describe some of the influential pop bands.
40_7	What makes a song pop punk?
40_8	What is the difference between  the origins popular music and emo ? 
40_9	How did Britpop change music?
40_10	What are  the origins popular music roots and what influenced  the origins popular music ? 
49_1	How was Netflix started?
49_2	How did  Netflix originally work ? 
49_3	What is  Netflix relationship with Blockbuster ? 
49_4	When did Netflix shift from DVDs to a streaming service?
49_5	What are  Netflix other competitors ? 
49_6	How does  Netflix compare to Amazon Prime Video ? 
49_7	Describe  Netflix ’s subscriber growth over time . 
49_8	How has  Netflix changed the way TV is watched ? 
49_9	How has  the way TV impacted society ? 
49_10	How about dating and relationships ?  Netflix
50_1	What was the first artificial satellite?
50_2	What are the types of orbits ?  the first artificial satellite
50_3	What are the important classes of satellite?
50_4	How do navigation systems work ?  the first artificial satellite
50_5	What is the Galileo system and why is it important?
50_6	Why did  the Galileo system create tension with the US ? 
50_7	What are Cubesats?
50_8	What are  Cubesats advantages ? 
50_9	What are  their advantages used for ? 
50_10	What is What are they for  future ? 
54_1	What is worth seeing in Washington D.C.?
54_2	Which Smithsonian museums are the most popular?
54_3	Why is the National Air and Space Museum important?
54_4	Is the Spy Museum free?
54_5	What is there to do in DC after the museums close ?  Washington D.C.
54_6	What is the best time to visit the reflecting pools ?  DC the museums 
54_7	Are there any famous foods ?  the best time the reflecting pools 
54_8	What is a DC half smoke?
54_9	Tell me about  a DC half smoke history . 
56_1	What is Darwin’s theory in a nutshell?
56_2	How was  Darwin’s theory a nutshell developed ? 
56_3	How do sexual and asexual reproduction affect  Darwin’s theory a nutshell ? 
56_4	How can fossils be used to understand  Darwin’s theory a nutshell ? 
56_5	What is modern evidence for  Darwin’s theory a nutshell ? 
56_6	What is the impact on modern biology?
56_7	Compare and contrast microevolution and macroevolution.
56_8	What is the relationship to speciation?
58_1	What is a real-time database?
58_2	How does  a real-time database differ from traditional ones ? 
58_3	What are the advantages of real-time processing?
58_4	What are examples of important ones ?  a real-time database
58_5	What are important applications ?  examples important ones 
58_6	What are important cloud options ?  important applications 
58_7	Tell me about the Firebase DB.
58_8	How is  a real-time database used in mobile apps ? 
59_1	Which weekend sports have the most injuries?
59_2	What are the most common types of injuries ?  Which weekend sports the most injuries
59_3	What is the ACL?
59_4	What is an injury for  the ACL ? 
59_5	Tell me about the RICE method .  an injury 
59_6	Is there disagreement about  the rice method ? 
59_7	What is arnica used for?
59_8	What are some ways to avoid injury ?  arnica 
61_1	Who are The Avengers?
61_2	Tell me about  The Avengers first appearance . 
61_3	Who is the most powerful and why ?  The Avengers
61_4	What is the relationship of Spider-Man to the team?
61_5	Why is Batman not a member?
61_6	What is an important team in the DC universe?
61_7	Tell me about the origins of the Justice League.
61_8	Who are the important members ?  the origins of the justice league 
61_9	Which team came first ?  the important members 
67_1	Why is blood red?
67_2	What are red blood cells?
67_3	How are Why is blood red  created ? 
67_4	How is oxygen transported?
67_5	What is anemia?
67_6	What are the symptoms ?  anemia 
67_7	Can  the symptoms go away ? 
67_8	What are it away  possible causes ? 
67_9	How is Why is blood red  treated ? 
67_10	What foods contain high levels of iron?
67_11	What improves absorption ? Why is blood red 
68_1	What is cuisine is Emilia-Romagna famous for?
68_2	Tell me about cooking schools and classes . What is cuisine is Emilia Romagna famous for 
68_3	What are famous foods from the region ? What is cuisine is Emilia Romagna famous for 
68_4	Describe the traditional process for making balsamic vinegar?
68_5	What is mortadella and where is it from?
68_6	What ’s the difference with Bologna ? What is cuisine is Emilia Romagna famous for 
68_7	Where was Parmesan cheese created?
68_8	What is done with the whey after production ?  Parmesan cheese 
68_9	What are typical pasta dishes ? What is cuisine is Emilia Romagna famous for 
68_10	What is the history of tagliatelle al ragu bolognese?
68_11	What are  the history tagliatelle al ragu bolognese common variations ? 
69_1	How do you sleep after jet lag?
69_2	Does melatonin help ?  jet lag 
69_3	How was  melatonin discovered ? 
69_4	What are good sources in food ? How was it  
69_5	Is melatonin bad for you ?  good sources food 
69_6	What are the side effects ?  melatonin 
69_7	Why does  the side effects require a prescription in the UK ? 
69_8	How can I increase my levels naturally ?  a prescription the UK 
69_9	Is  my levels effective for treating insomnia ? 
69_10	How about for anxiety ?  jet lag
75_1	Why do turkey and Turkey share the same name?
75_2	Where are turkeys from?
75_3	What was  turkey Turkey the same name importance in native cultures ? 
75_4	When and how were  turkey Turkey the same name domesticated ? 
75_5	Can  turkey Turkey the same name fly ? 
75_6	Why did Ben Franklin want  turkey Turkey the same name to be the national symbol ? 
75_7	How did  turkey Turkey the same name cook  turkey Turkey the same name ? 
75_8	Why is  turkey Turkey the same name eaten on Thanksgiving ? 
75_9	How did  turkey Turkey the same name become traditional for Christmas dinner in Britain ? 
75_10	When did  turkey Turkey the same name become popular ? 
77_1	What's the difference between soup and stew?
77_2	Is chilli a stew?
77_3	How about goulash ?  the difference soup stew
77_4	What are popular ones in France ?  the difference soup stew
77_5	How is cassoulet made?
77_6	Tell me about feijoada and  cassoulet significance . 
77_7	How is  the difference soup stew similar or different from cassoulet ? 
77_8	Tell about Bigos stew.
77_9	Why is about Bigos stew  important ? 
77_10	What is the history of Irish stew?
78_1	What is the keto diet?
78_2	Why was  the keto diet original developed ? 
78_3	What is ketosis?
78_4	What is paleo?
78_5	What do What is paleo  have in common ? 
78_6	How are What do they have in common  different ? 
78_7	What is intermittent fasting?
78_8	How is What is intermittent  related to keto ? 
78_9	What is the 16/8 method ?  the keto diet
78_10	What is the best for weight loss ?  the 16/8 method 
79_1	What is taught in sociology?
79_2	What is the main contribution of Auguste Comte?
79_3	What is the role of positivism in  sociology ? 
79_4	What is Herbert Spencer known for?
79_5	How is  sociology work related to Comte ? 
79_6	What is the functionalist theory?
79_7	What is  sociology main criticism ? 
79_8	How does  sociology compare to conflict theory ? 
79_9	What are modern examples of conflict theory?
