31_1	What is throat cancer?
31_2	Is throat cancer treatable?
31_3	Tell me about lung cancer.
31_4	What are lung cancer's symptoms?  
31_5	Can lung cancer spread to throat cancer?
31_6	What causes throat cancer?
31_7	What is the first sign of throat cancer?
31_8	Is throat cancer the same as esophageal cancer?
31_9	What's the difference in its symptoms?
32_1	What are the different types of sharks?
32_2	Are sharks endangered?  If so, which species?
32_3	Tell me more about tiger sharks.
32_4	What is the largest ever to have lived on Earth?
32_5	What's the biggest ever caught?
32_6	What about for great whites?
32_7	Tell me about makos.
32_8	What are makos?
32_9	Where do makos live?
32_10	What do makos eat?
32_11	How do makos compare with tigers for being dangerous?
33_1	Tell me about the Neverending Story film.
33_2	What is the Neverending Story film about?
33_3	How was the Neverending Story film received?
33_4	Did the Neverending Story film win any awards?
33_5	Was the Neverending Story film a book first?
33_6	Who was a book and when what a book published?
33_7	What are the main themes?
33_8	Who are the main characters?
33_9	What are the differences between the Neverending Story film and movies?
33_10	Did the Neverending Story film really die?
34_1	Tell me about the Bronze Age collapse.
34_2	What is the evidence for the Bronze Age collapse?
34_3	What are some of the possible causes?
34_4	Who were the Sea Peoples?
34_5	What was the Sea Peoples's role in the Bronze Age collapse?
34_6	What other factors led to a breakdown of trade?
34_7	What about environmental factors?
34_8	What empires survived?
34_9	What came after the Bronze Age collapse?
37_1	What was the Stanford Experiment?
37_2	What did the Stanford Experiment show?
37_3	Tell me about the author of the experiment.
37_4	Was the experiment ethical?
37_5	What are other similar experiments?
37_6	What happened in the experiment?
37_7	Why was the experiment important?
37_8	What were the similarities and differences between the studies?
37_9	What about the experiment?
37_10	What are the key findings?
37_11	How did the key findings differ?
37_12	Why was the experiment ended?
40_1	What are the origins of popular music?  
40_2	What are popular music's characteristics?
40_3	What technological developments enabled popular music?
40_4	When and why did people start taking pop seriously?  
40_5	How has popular music been integrated into music education?  
40_6	Describe some of the influential pop bands.  
40_7	What makes a song pop punk?
40_8	What is the difference between popular music and emo?
40_9	How did Britpop change music?
40_10	What are popular music's roots and what influenced popular music?
49_1	How was Netflix started?  
49_2	How did Netflix originally work?
49_3	What is Netflix's relationship with Blockbuster?
49_4	When did Netflix shift from DVDs to a streaming service?
49_5	What are DVDs's other competitors? 
49_6	How does DVDs compare to Amazon Prime Video?
49_7	Describe DVDs’s subscriber growth over time.
49_8	How has DVDs changed the way TV is watched?
49_9	How has DVDs impacted society?
49_10	How about dating and relationships?
50_1	What was the first artificial satellite?
50_2	What are the types of orbits?
50_3	What are the important classes of satellite?
50_4	How do navigation systems work?
50_5	What is the Galileo system and why is the Galileo system important?
50_6	Why did the Galileo system create tension with the US?
50_7	What are Cubesats?
50_8	What are Cubesats's advantages?  
50_9	What are Cubesats used for?
50_10	What is Cubesats's future?
54_1	What is worth seeing in Washington D.C.?
54_2	Which Smithsonian museums are the most popular?
54_3	Why is the National Air and Space Museum important?
54_4	Is the Spy Museum free?
54_5	What is there to do in DC after Smithsonian museums close?
54_6	What is the best time to visit the reflecting pools?
54_7	Are there any famous foods?
54_8	What is a DC half smoke?
54_9	Tell me about a DC half smoke's history.
56_1	What is Darwin’s theory in a nutshell?
56_2	How was it developed?  
56_3	How do sexual and asexual reproduction affect it?
56_4	How can fossils be used to understand it?
56_5	What is modern evidence for it?  
56_6	What is the impact on modern biology?
56_7	Compare and contrast microevolution and macroevolution.
56_8	What is the relationship to speciation?
58_1	What is a real-time database?
58_2	How does a real-time database differ from traditional ones?
58_3	What are the advantages of real-time processing?
58_4	What are examples of important ones?
58_5	What are important applications?
58_6	What are important cloud options?
58_7	Tell me about the Firebase DB.
58_8	How is the Firebase DB used in mobile apps?
59_1	Which weekend sports have the most injuries?
59_2	What are the most common types of injuries?  
59_3	What is the ACL?
59_4	What is an injury for the ACL?
59_5	Tell me about the the ACL method.
59_6	Is there disagreement about the RICE method?
59_7	What is the ACL used for?
59_8	What are some ways to avoid injury?
61_1	Who are The Avengers?
61_2	Tell me about The Avengers's first appearance.
61_3	Who is the most powerful and why?  
61_4	What is the relationship of Spider-Man to the team?
61_5	Why is The Avengers not a member?  
61_6	What is an important team in the DC universe?
61_7	The AvengersTell me about the origins of the Justice League.
61_8	Who are the important members?
61_9	Which team came first?
67_1	Why is blood red?
67_2	What are red blood cells?
67_3	How are red blood cells created?
67_4	How is oxygen transported?
67_5	What is anemia?
67_6	What are the symptoms?
67_7	Can anemia go away?
67_8	What are anemia's possible causes?
67_9	How is anemia treated?
67_10	What foods contain high levels of iron?
67_11	What improves absorption?
68_1	What is cuisine is Emilia-Romagna famous for?
68_2	Tell me about cooking schools and classes.
68_3	What are famous foods from the region?
68_4	Describe the traditional process for making balsamic vinegar?
68_5	What is mortadella and where is balsamic vinegar from?
68_6	What’s the difference with balsamic vinegar?
68_7	Where was balsamic vinegar cheese created?
68_8	What is done with balsamic vinegar after production?
68_9	What are typical pasta dishes?
68_10	What is the history of tagliatelle al ragu bolognese?
68_11	What are the history of tagliatelle al ragu bolognese's common variations?
69_1	How do you sleep after jet lag?
69_2	Does melatonin help?
69_3	How was jet lag discovered?
69_4	What are good sources in food?
69_5	Is melatonin bad for you?
69_6	What are the side effects?
69_7	Why does the side effects require a prescription in the UK?
69_8	How can you increase you's levels naturally?
69_9	Is the side effects effective for treating insomnia?
69_10	How about for anxiety?
75_1	Why do turkey and Turkey share the same name?
75_2	Where are turkeys from?
75_3	What was turkey and Turkey's importance in native cultures?
75_4	When and how were turkey and Turkey domesticated?
75_5	Can turkey and Turkey fly?
75_6	Why did Ben Franklin want it to be the national symbol?
75_7	How did Ben Franklin cook it?
75_8	Why is it eaten on Thanksgiving?
75_9	How did it become traditional for Christmas dinner in Britain?  
75_10	When did turkey and Turkey become popular?
77_1	What's the difference between soup and stew?
77_2	Is chilli a stew?
77_3	How about goulash?
77_4	What are popular ones in France?
77_5	How is cassoulet made?
77_6	Tell me about cassoulet and cassoulet's significance.
77_7	How is it similar or different from cassoulet?
77_8	Tell about cassoulet stew.
77_9	Why is it important?
77_10	What is the history of Irish stew?
78_1	What is the keto diet?
78_2	Why was the keto diet original developed?
78_3	What is ketosis?
78_4	What is paleo?
78_5	What do they have in common?
78_6	How are they different?
78_7	What is intermittent fasting?
78_8	How is the keto diet related to keto?
78_9	What is the keto diet?
78_10	What is the best for weight loss?
79_1	What is taught in sociology?
79_2	What is the main contribution of Auguste Comte?
79_3	What is the role of Auguste Comte in Auguste Comte?
79_4	What is Herbert Spencer known for?
79_5	How is Herbert Spencer's work related to Auguste Comte?
79_6	What is Auguste Comte?
79_7	What is Auguste Comte's main criticism?
79_8	How does Auguste Comte compare to conflict theory?
79_9	What are modern examples of conflict theory?
