31_1	What is throat cancer?
31_2	Is  throat cancer treatable ? 
31_3	Tell me about lung cancer.  throat cancer
31_4	What are  lung cancer symptoms ?   throat cancer
31_5	Can  lung cancer spread to the throat ?   throat cancer
31_6	What causes throat cancer?  throat cancer
31_7	What is the first sign of  throat cancer ? 
31_8	Is  throat cancer the same as esophageal cancer ? 
31_9	What 's the difference in  throat cancer symptoms ? 
32_1	What are the different types of sharks?
32_2	Are sharks endangered?  If so, which species?  the different types sharks
32_3	Tell me more about tiger sharks.  the different types sharks
32_4	What is the largest ever to have lived on Earth ?  tiger sharks   the different types sharks
32_5	What 's the biggest ever caught ?  tiger sharks   the different types sharks
32_6	What about for great whites?  the different types sharks
32_7	Tell me about makos.  the different types sharks
32_8	What are  makos adaptations ?   the different types sharks
32_9	Where do  makos live ?   the different types sharks
32_10	What do  makos eat ?   the different types sharks
32_11	How do  makos compare with tigers for being dangerous ?   the different types sharks
33_1	Tell me about the Neverending Story film.
33_2	What is  the neverending story film about ? 
33_3	How was  the neverending story film received ? 
33_4	Did  the neverending story film win any awards ? 
33_5	Was  the neverending story film a book first ? 
33_6	Who was the author and when what  the neverending story film published ? 
33_7	What are the main themes ?  the neverending story film 
33_8	Who are the main characters ?  the neverending story film 
33_9	What are the differences between the book and movies ?  the neverending story film 
33_10	Did the horse Artax really die?  the neverending story film
34_1	Tell me about the Bronze Age collapse.
34_2	What is the evidence for  the bronze age collapse ? 
34_3	What are some of the possible causes ?  the bronze age collapse 
34_4	Who were the Sea Peoples?  the bronze age collapse
34_5	What was  the Sea Peoples role in  the Sea Peoples ?   the bronze age collapse
34_6	What other factors led to a breakdown of trade ?  the Sea Peoples   the bronze age collapse
34_7	What about environmental factors ?  the Sea Peoples   the bronze age collapse
34_8	What empires survived ?  the Sea Peoples   the bronze age collapse
34_9	What came after  the Sea Peoples ?   the bronze age collapse
37_1	What was the Stanford Experiment?
37_2	What did  the Stanford Experiment show ? 
37_3	Tell me about the author of the experiment .  the Stanford Experiment 
37_4	Was  the Stanford Experiment ethical ? 
37_5	What are other similar experiments ?  the Stanford Experiment 
37_6	What happened in the Milgram experiment?  the Stanford Experiment
37_7	Why was  the Milgram experiment important ?   the Stanford Experiment
37_8	What were the similarities and differences between the studies ?  the Milgram experiment   the Stanford Experiment
37_9	What about the BBC experiment?  the Stanford Experiment
37_10	What are the key findings ?  the BBC experiment   the Stanford Experiment
37_11	How did the results differ ?  the BBC experiment   the Stanford Experiment
37_12	Why was  the BBC experiment ended ?   the Stanford Experiment
40_1	What are the origins of popular music?
40_2	What are  the origins popular music characteristics ? 
40_3	What technological developments enabled  the origins popular music ? 
40_4	When and why did people start taking pop seriously?  the origins popular music
40_5	How has  people pop been integrated into music education ?   the origins popular music
40_6	Describe some of the influential pop bands.  the origins popular music
40_7	What makes a song pop punk?  the origins popular music
40_8	What is the difference between  a song pop punk and emo ?   the origins popular music
40_9	How did Britpop change music?  the origins popular music
40_10	What are  Britpop roots and what influenced  Britpop ?   the origins popular music
49_1	How was Netflix started?
49_2	How did  Netflix originally work ? 
49_3	What is  Netflix relationship with Blockbuster ? 
49_4	When did Netflix shift from DVDs to a streaming service?  Netflix
49_5	What are  Netflix DVDs a streaming service other competitors ? 
49_6	How does  Netflix DVDs a streaming service compare to Amazon Prime Video ? 
49_7	Describe  Netflix DVDs a streaming service ’s subscriber growth over time . 
49_8	How has  Netflix DVDs a streaming service changed the way TV is watched ? 
49_9	How has  Netflix DVDs a streaming service impacted society ? 
49_10	How about dating and relationships ?  Netflix DVDs a streaming service 
50_1	What was the first artificial satellite?
50_2	What are the types of orbits ?  the first artificial satellite 
50_3	What are the important classes of satellite ?  the first artificial satellite 
50_4	How do navigation systems work ?  the first artificial satellite 
50_5	What is the Galileo system and why is  the first artificial satellite important ? 
50_6	Why did  the first artificial satellite create tension with the US ? 
50_7	What are Cubesats?  the first artificial satellite
50_8	What are  Cubesats advantages ?   the first artificial satellite
50_9	What are  Cubesats used for ?   the first artificial satellite
50_10	What is  Cubesats future ?   the first artificial satellite
54_1	What is worth seeing in Washington D.C.?
54_2	Which Smithsonian museums are the most popular?  Washington D.C.
54_3	Why is the National Air and Space Museum important?  Washington D.C.
54_4	Is the Spy Museum free?  Washington D.C.
54_5	What is there to do in DC after the museums close ?  the Spy Museum   Washington D.C.
54_6	What is the best time to visit the reflecting pools ?  the Spy Museum   Washington D.C.
54_7	Are there any famous foods ?  the Spy Museum   Washington D.C.
54_8	What is a DC half smoke ?  the Spy Museum   Washington D.C.
54_9	Tell me about  the Spy Museum history .   Washington D.C.
56_1	What is Darwin’s theory in a nutshell?
56_2	How was  Darwin’s theory a nutshell developed ? 
56_3	How do sexual and asexual reproduction affect  Darwin’s theory a nutshell ? 
56_4	How can fossils be used to understand  Darwin’s theory a nutshell ? 
56_5	What is modern evidence for  Darwin’s theory a nutshell ? 
56_6	What is the impact on modern biology ?  Darwin’s theory a nutshell 
56_7	Compare and contrast microevolution and macroevolution.  Darwin’s theory a nutshell
56_8	What is the relationship to speciation ?  contrast microevolution macroevolution   Darwin’s theory a nutshell
58_1	What is a real-time database?
58_2	How does  a real-time database differ from traditional ones ? 
58_3	What are the advantages of real - time processing ?  a real-time database 
58_4	What are examples of important ones ?  a real-time database 
58_5	What are important applications ?  a real-time database 
58_6	What are important cloud options ?  a real-time database 
58_7	Tell me about the Firebase DB.  a real-time database
58_8	How is  the firebase db used in mobile apps ?   a real-time database
59_1	Which weekend sports have the most injuries?
59_2	What are the most common types of injuries ?  Which weekend sports the most injuries 
59_3	What is the ACL ?  Which weekend sports the most injuries 
59_4	What is an injury for  Which weekend sports the most injuries ? 
59_5	Tell me about the RICE method.  Which weekend sports the most injuries
59_6	Is there disagreement about  the rice method ?   Which weekend sports the most injuries
59_7	What is arnica used for?  Which weekend sports the most injuries
59_8	What are some ways to avoid injury?  Which weekend sports the most injuries
61_1	Who are The Avengers?
61_2	Tell me about  The Avengers first appearance . 
61_3	Who is the most powerful and why ?  The Avengers 
61_4	What is the relationship of Spider - Man to the team ?  The Avengers 
61_5	Why is Batman not a member ?  The Avengers 
61_6	What is an important team in the DC universe?  The Avengers
61_7	Tell me about the origins of the Justice League.  The Avengers
61_8	Who are the important members ?  the origins of the justice league   The Avengers
61_9	Which team came first ?  the origins of the justice league   The Avengers
67_1	Why is blood red?
67_2	What are red blood cells? Why is blood red 
67_3	How are  red blood cells created ?  Why is blood red 
67_4	How is oxygen transported ?  red blood cells  Why is blood red 
67_5	What is anemia? Why is blood red 
67_6	What are the symptoms ?  anemia  Why is blood red 
67_7	Can  anemia go away ?  Why is blood red 
67_8	What are  anemia possible causes ?  Why is blood red 
67_9	How is  anemia treated ?  Why is blood red 
67_10	What foods contain high levels of iron? Why is blood red 
67_11	What improves absorption ?  What foods high levels iron  Why is blood red 
68_1	What is cuisine is Emilia-Romagna famous for?
68_2	Tell me about cooking schools and classes . What is cuisine is Emilia Romagna famous for  
68_3	What are famous foods from the region ? What is cuisine is Emilia Romagna famous for  
68_4	Describe the traditional process for making balsamic vinegar? What is cuisine is Emilia Romagna famous for 
68_5	What is mortadella and where is it from? What is cuisine is Emilia Romagna famous for 
68_6	What ’s the difference with Bologna ? What is mortadella and where is it from   What is cuisine is Emilia Romagna famous for 
68_7	Where was Parmesan cheese created? What is cuisine is Emilia Romagna famous for 
68_8	What is done with the whey after production ?  Parmesan cheese  What is cuisine is Emilia Romagna famous for 
68_9	What are typical pasta dishes ?  Parmesan cheese  What is cuisine is Emilia Romagna famous for 
68_10	What is the history of tagliatelle al ragu bolognese? What is cuisine is Emilia Romagna famous for 
68_11	What are  the history tagliatelle al ragu bolognese common variations ?  What is cuisine is Emilia Romagna famous for 
69_1	How do you sleep after jet lag?
69_2	Does melatonin help ?  jet lag 
69_3	How was  jet lag discovered ? 
69_4	What are good sources in food ?  jet lag 
69_5	Is melatonin bad for you?  jet lag
69_6	What are the side effects ?  melatonin   jet lag
69_7	Why does  melatonin require a prescription in the UK ?   jet lag
69_8	How can I increase my levels naturally ?  melatonin   jet lag
69_9	Is  melatonin effective for treating insomnia ?   jet lag
69_10	How about for anxiety ?  melatonin   jet lag
75_1	Why do turkey and Turkey share the same name?
75_2	Where are turkeys from?  turkey Turkey the same name
75_3	What was  turkeys importance in native cultures ?   turkey Turkey the same name
75_4	When and how were  turkeys domesticated ?   turkey Turkey the same name
75_5	Can  turkeys fly ?   turkey Turkey the same name
75_6	Why did Ben Franklin want  turkeys to be the national symbol ?   turkey Turkey the same name
75_7	How did  turkeys cook  turkeys ?   turkey Turkey the same name
75_8	Why is  turkeys eaten on Thanksgiving ?   turkey Turkey the same name
75_9	How did  turkeys become traditional for Christmas dinner in Britain ?   turkey Turkey the same name
75_10	When did  turkeys become popular ?   turkey Turkey the same name
77_1	What's the difference between soup and stew?
77_2	Is chilli a stew?  the difference soup stew
77_3	How about goulash ?  chilli a stew   the difference soup stew
77_4	What are popular ones in France ?  chilli a stew   the difference soup stew
77_5	How is cassoulet made?  the difference soup stew
77_6	Tell me about feijoada and its significance.  the difference soup stew
77_7	How is  feijoada its significance similar or different from cassoulet ?   the difference soup stew
77_8	Tell about Bigos stew.  the difference soup stew
77_9	Why is about Bigos stew  important ?   the difference soup stew
77_10	What is the history of Irish stew?  the difference soup stew
78_1	What is the keto diet?
78_2	Why was  the keto diet original developed ? 
78_3	What is ketosis?  the keto diet
78_4	What is paleo?  the keto diet
78_5	What do What is paleo  have in common ?   the keto diet
78_6	How are What is paleo  different ?   the keto diet
78_7	What is intermittent fasting?  the keto diet
78_8	How is What is intermittent  related to keto ?   the keto diet
78_9	What is the 16/8 method?  the keto diet
78_10	What is the best for weight loss ?  the 16/8 method   the keto diet
79_1	What is taught in sociology?
79_2	What is the main contribution of Auguste Comte?  sociology
79_3	What is the role of positivism in  the main contribution Auguste Comte ?   sociology
79_4	What is Herbert Spencer known for?  sociology
79_5	How is  Herbert Spencer work related to Comte ?   sociology
79_6	What is the functionalist theory?  sociology
79_7	What is  the functionalist theory main criticism ?   sociology
79_8	How does  the functionalist theory compare to conflict theory ?   sociology
79_9	What are modern examples of conflict theory?  sociology
