What is a physician's assistant?	1
What are the educational requirements required to become one?	0
What does it cost?	0
What's the average starting salary in the UK?	0
What about in the US?	0
What school subjects are needed to become a registered nurse?	1
What is the PA average salary vs an RN?	1
What the difference between a PA and a nurse practitioner?	1
Do NPs or PAs make more?	1
Is a PA above a NP?	1
What is the fastest way to become a NP?	1
How much longer does it take to become a doctor after being an NP?	1
What are the main breeds of goat?	1
Tell me about boer goats.	1
What breed is good for meat?	0
Are angora goats good for it?	0
What about boer goats?	0
What are pygmies used for?	0
What is the best for fiber production?	0
How long do Angora goats live?	1
Can you milk them?	0
How many can you have per acre?	0
Are they profitable?	0
Tell me about the types of irregular heart beat.	1
How serious is an irregular heart beat?	1
What are the different types of tachycardia?	1
What is atrial flutter?	1
What causes it?	0
What's the difference between flutter and fibrillation?	1
How does afib affect an ECG?	1
Does it shorten your life?	0
What triggers it?	0
How do you stop an attack?	0
What is the best exercise for it?	0
What was the neolithic revolution?	1
When did it start and end?	0
Why did it start?	0
What did the neolithic invent?	1
What tools were used?	0
When was it brought to the british isles?	0
Describe the period that follows it.	0
What was its significance?	0
What were the houses like?	0
What are the best ways to cook a turkey?	1
Should I brine a turkey before smoking it?	1
How much salt do I use to brine it?	0
What kind of wood should I use?	0
How long should it be smoked for?	0
Is it healthy?	0
What can you do with leftovers?	0
How long are leftovers good for in the fridge?	0
What's a recipe for soup using it?	0
How about one for chili?	0
What are the most important US supreme court cases?	1
What did Plessy v. Ferguson establish?	1
How about Marbury vs Madison?	1
Was it unanimous?	0
What was the implication of Roe vs Wade?	1
What were the main arguments?	0
What was the point of Brown v Board of Ed?	1
What were the main arguments?	0
Why is it important today?	0
What are the different types of macromolecules?	1
Tell me about the characteristics of carbohydrates.	1
What are they composed of?	0
What is their basic structure?	0
What are the main types with examples of each?	0
Tell me about lipids.	1
What is their function?	0
What are the types?	0
What is the most common?	0
What is the difference between them and carbohydrates?	0
Why are carbs better?	0
What was the Securities Act of 1933?	1
What is exempt from it?	0
Why was it needed?	0
What was the reason for creating the 1934 act?	1
What is the largest securities exchange in the world?	1
How and when when was the NYSE created?	1
What was the first stock market?	1
Why is statistics important?	1
Why should one study it?	0
Tell me about its career options.	0
Are Data Scientists in high demand?	1
How much do they make on average in a year?	0
What is range?	0
Describe some different metrics to interpret it.	0
What are quartiles?	1
How do you find the lower and upper quartile?	1
How does water freeze?	1
What happens to its molecules?	0
Why isn't the bottom of the ocean frozen?	1
Can the bottom of the ocean freeze?	1
Where is the coldest place on Earth?	1
Does Dome Fuji have inhabitants?	1
Why is Antarctica so cold?	1
How cold is the water underneath the ice?	1
What is the biggest town?	0
What are futuristic designs?	1
How did this become a new trend?	0
Why are most of the constructions inspired by these designs?	0
What are the different domains where such designs have been adapted?	0
How has it affected technology?	0
How have the different giants in the business responded to this?	0
Has its introduction led to increase in business?	0
"If designs are already futuristic	0
What is a good age to get LASIK?	1
Give me a short description of the procedure.	0
What are its benefits?	0
What are the risks?	0
Describe experiences of some people who had it done.	0
Are there any good alternatives to it?	0
What is its success rate?	0
"Once it's done	0
Does the effect wear off with age?	0
What is tofu exactly?	1
How is it made?	0
What are its origins?	0
What is the best?	0
Is it a kind of cheese?	0
Can I eat it raw?	0
What are common ways to cook it?	0
In what cuisines is it popular?	0
Is it good for you?	0
Can it make you sick?	0
Is too much of it bad for you?	0
What are scalable data center network architectures?	1
What are some examples?	0
Describe the characteristics of FAT tree topology.	1
What routes can be taken by an upstream packet?	0
